#L&R = Liberal and Conservative
# The following keywords are assigned values ranging from -10 to 10.
# These values indicate positions on the political spectrum:
# -10 = Extreme Liberal, 0 = Moderate, 10 = Extreme Conservative

# Liberal
"Progressive",-10
"Compassionate",-9
"Inclusivity",-10
"Equity",-10
"Justice",-9
"Diversity",-8
"Empathy",-8
"Reform",-7
"Climate",-10
"Solidarity",-8
"Humanity",-9
"Affordable",-9
"Rights",-7
"Activism",-10
"Transparency",-6
"Public",-6
"Healthcare",-10
"Social",-8
"Environmental",-9
"Fairness",-7
"Sustainability",-10
"Cooperation",-7
"Empowerment",-9
"Innovation",-6
"Renewable",-9
"Freedom",-6
"Unity",-7
"Accessible",-7
"Justice",-9
"Compromise",-4
"Equality",-9
"Compassion",-9
"Welfare",-8
"Labor",-7
"Community",-6
"Gender",-9
"Advocacy",-8
"Renewables",-10
"Education",-6
"Reproductive",-10
"Peace",-6
"Diplomacy",-6
"Inclusion",-10
"Tolerance",-9
"Multiculturalism",-9
"Civility",-5
"Volunteer",-7
"Sanctuary",-10
"Charity",-6
"Wellbeing",-8
"Environmentalism",-10
"Coexistence",-9
"Civic",-6
"Accountability",-6
"Restorative",-9
"Collaboration",-7
"Union",-8
"Ethics",-7
"Humanitarian",-8
"Outreach",-6
"Dignity",-8
"Participation",-6
"Universal",-10
"Inclusive",-10
"Democracy",-7
"Nonviolence",-9
"Rehabilitation",-8
"Transparency",-6
"Cultural",-6
"Equal",-9
"Solidarity",-8
"Progressivism",-10
"Affordable",-8
"Liberty",-7
"Freedom",-6
"Diversity",-8
"Rights",-9
"Green",-10
"Empower",-8
"Safety",-6
"Cooperation",-6
"Integration",-7
"Protection",-8
"Equalitarian",-9
"Ethical",-6
"Wellness",-7
"Mutual",-7
"Health",-9
"Publicity",-6
"Globalism",-9
"Liberation",-10
"Unity",-8
"Socialism",-10
"Compassionate",-8
"Empathy",-7
"Care",-7
"Activist",-10
"Peaceful",-7
"Human",-7
"Development",-6
"Community",-6
"Humanism",-8
"Liberties",-7
"Shared",-7
"Global",-8

# Conservative
"Conservative",10
"Self-reliance",9
"Patriotism",10
"Faith",9
"Honor",9
"Stability",10
"Capitalism",9
"Individualism",8
"Entrepreneurship",10
"Ownership",8
"Tradition",10
"Family",9
"Authority",9
"Merit",8
"Integrity",8
"Strength",10
"Security",9
"Lawful",8
"Discipline",10
"Leadership",8
"Morality",9
"Heritage",10
"Faithfulness",9
"Defense",10
"Nation",9
"Community",7
"Respect",7
"Free-market",10
"Responsibility",8
"Loyalty",9
"Liberty",8
"Order",10
"Duty",9
"Accountability",8
"Efficiency",8
"Excellence",9
"Constitution",10
"Growth",7
"Hardwork",9
"Resilience",9
"Resourceful",8
"Ambition",8
"Determination",9
"Independence",8
"Pragmatism",7
"Competition",9
"Ownership",8
"Patriotic",10
"Vision",8
"Law-abiding",9
"Prosperity",10
"Vigorous",9
"Traditionalism",10
"Discipline",10
"Legacy",9
"Liberties",7
"Excellence",9
"Border",10
"Security",9
"Tradition",10
"Orderly",9
"Discipline",10
"Meritocracy",10
"Pragmatism",7
"Resilience",8
"Determination",9
"Prosperity",9
"Values",7
"Loyalty",9
"Patriotism",10
"Constitutionalism",10
"Hardwork",9
"Entrepreneurship",9
"Balanced",8
"Respect",7
"Law-abiding",8
"Prosperity",9
"Law",8
"Rights",7
"Liberty",8
"Excellence",9
"Resilient",8
"Boundaries",9
"Family",7
